.1000000E+01  .1983266E+03  .2175432E+01
.2000000E+01  .5120100E+02  .4007518E+00
.3000000E+01  .2071457E+03  .3224259E+01
.4000000E+01  .2086332E+03  .5591680E+00
.5000000E+01  .2035528E+03  .3422653E+01
.6000000E+01  .2543920E+03  .5181487E+00
.7000000E+01  .2233819E+03  .3121473E+01
.8000000E+01  .2275025E+03  .5386972E+00
.9000000E+01  .2226633E+03  .3164217E+01
.1000000E+02  .2258442E+03  .5021104E+00
.1100000E+02  .2034724E+03  .3424416E+01
.1200000E+02  .2233668E+03  .5680837E+00
.1300000E+02  .2377236E+03  .3606108E+01
.1400000E+02  .2197437E+03  .5108356E+00
.1500000E+02  .2346382E+03  .2252804E+01
.1600000E+02  .8070960E+04  .8054765E+02
.1700000E+02  .2270101E+03  .2710467E+01
.1800000E+02  .2125477E+03  .5549977E+00
.1900000E+02  .2206834E+03  .2547099E+01
.2000000E+02  .2214372E+03  .1301265E+01
.2100000E+02  .2422714E+03  .4449237E+01
.2200000E+02  .2472714E+03  .1286471E+01
.2300000E+02  .2024774E+03  .2713866E+01
.2400000E+02  .2212613E+03  .4754480E+01
.2500000E+02  .2235578E+03  .2369282E+01
.2600000E+02  .2292462E+03  .1124397E+02
.2700000E+02  .2356030E+03  .3983407E+01
.2800000E+02  .2441407E+03  .9721248E+00
.2900000E+02  .2134372E+03  .2690916E+01
.3000000E+02  .2436231E+03  .1053192E+01
.3100000E+02  .2356683E+03  .1056472E+01
.3200000E+02  .2258995E+03  .1782086E+01
